name,team,sport,league,duplicate_count,kept_index,removed_indices
Ben Winterburn,Bournemouth,Football,EPL,2,57,[24163]
Carlos Vinícius,Fulham,Football,EPL,2,60,[24325]
Pablo Sarabia,Wolves,Football,EPL,2,80,[24638]
J. Matip,Liverpool,Football,EPL,2,100,[1960]
Thiago Alcântara,Liverpool,Football,EPL,2,101,[1961]
Diogo Jota,Liverpool,Football,EPL,3,102,"[1962, 24414]"
C. Ramsay,Liverpool,Football,EPL,2,103,[1963]
Thomas Daniel Hill,Liverpool,Football,EPL,2,104,[1964]
James Barry Norris,Liverpool,Football,EPL,2,105,[1965]
O. Beck,Liverpool,Football,EPL,2,106,[1966]
V. Jaroš,Liverpool,Football,EPL,2,107,[1967]
H. Davies,Liverpool,Football,EPL,2,108,[1968]
James Balagizi,Liverpool,Football,EPL,2,109,[1969]
Mateusz Konrad Musiałowski,Liverpool,Football,EPL,2,110,[1970]
L. Chambers,Liverpool,Football,EPL,2,111,[1971]
Kaide Gordon,Liverpool,Football,EPL,2,112,[1972]
J. McConnell,Liverpool,Football,EPL,2,113,[1973]
Fabian Mrozek,Liverpool,Football,EPL,2,114,[1974]
C. Scanlon,Liverpool,Football,EPL,2,115,[1975]
Stefan Bajčetić,Liverpool,Football,EPL,2,116,[1976]
B. Clark,Liverpool,Football,EPL,2,117,[1977]
Trent Toure Kone Doherty,Liverpool,Football,EPL,2,118,[1978]
R. Young,Liverpool,Football,EPL,2,119,[1979]
Juan Larios,Southampton,Football,EPL,2,135,[24549]
T. Partey,Arsenal,Football,EPL,2,140,[1980]
Cédric Soares,Arsenal,Football,EPL,2,141,[1981]
Mohamed Elneny,Arsenal,Football,EPL,2,142,[1982]
Jorginho,Arsenal,Football,EPL,3,143,"[1983, 24118]"
T. Tomiyasu,Arsenal,Football,EPL,2,144,[1984]
Nuno Tavares,Arsenal,Football,EPL,2,145,[1985]
N. Butler-Oyedeji,Arsenal,Football,EPL,2,146,[1986]
O. Rekik,Arsenal,Football,EPL,2,147,[1987]
S. Oulad M&apos;Hand,Arsenal,Football,EPL,2,148,[1988]
M. Biereth,Arsenal,Football,EPL,2,149,[1989]
Jack Henry-Francis,Arsenal,Football,EPL,2,150,[1990]
James Lannin-Sweet,Arsenal,Football,EPL,2,151,[1991]
Mauro Bandeira,Arsenal,Football,EPL,2,152,[1992]
C. Sagoe,Arsenal,Football,EPL,2,153,[1993]
A. Cozier-Duberry,Arsenal,Football,EPL,2,154,[1994]
R. Walters,Arsenal,Football,EPL,2,155,[1995]
Marquinhos,Arsenal,Football,EPL,2,156,[1996]
J. Gower,Arsenal,Football,EPL,2,157,[1997]
M. Rosiak,Arsenal,Football,EPL,2,158,[1998]
L. Martin,Arsenal,Football,EPL,2,159,[1999]
Carlos Soler,West Ham,Football,EPL,2,220,[24597]
T. Harwood-Bellis,Manchester City,Football,EPL,2,260,[2000]
B. Knight,Manchester City,Football,EPL,2,261,[2001]
F. Burns,Manchester City,Football,EPL,2,262,[2002]
L. Delap,Manchester City,Football,EPL,2,263,[2003]
Yan Couto,Manchester City,Football,EPL,2,264,[2004]
L. Mbete,Manchester City,Football,EPL,2,265,[2005]
C. Doyle,Manchester City,Football,EPL,2,266,[2006]
A. Robertson,Manchester City,Football,EPL,2,267,[2007]
Jadel Katongo,Manchester City,Football,EPL,2,268,[2008]
Joel Tshisanga Ndala,Manchester City,Football,EPL,2,269,[2009]
Tomas Galvez,Manchester City,Football,EPL,2,270,[2010]
L. Samuel,Manchester City,Football,EPL,2,271,[2011]
J. Oboavwoduo,Manchester City,Football,EPL,2,272,[2012]
A. Ahmed Fatah,Manchester City,Football,EPL,2,273,[2013]
Jaden Heskey,Manchester City,Football,EPL,2,274,[2014]
True Grant,Manchester City,Football,EPL,2,275,[2015]
S. Mfuni,Manchester City,Football,EPL,2,276,[2016]
Farid Alfa-Ruprecht,Manchester City,Football,EPL,2,277,[2017]
M. Hudson,Manchester City,Football,EPL,2,278,[2018]
Reigan Heskey,Manchester City,Football,EPL,2,279,[2019]
C. Lenglet,Aston Villa,Football,EPL,2,380,[2020]
N. Zaniolo,Aston Villa,Football,EPL,2,381,[2021]
C. Chambers,Aston Villa,Football,EPL,2,382,[2022]
K. Hause,Aston Villa,Football,EPL,2,383,[2023]
Douglas Luiz,Aston Villa,Football,EPL,2,384,[2024]
F. Marschall,Aston Villa,Football,EPL,2,385,[2025]
L. Dobbin,Aston Villa,Football,EPL,2,386,[2026]
L. Barry,Aston Villa,Football,EPL,2,387,[2027]
S. Revan,Aston Villa,Football,EPL,2,388,[2028]
J. Wright,Aston Villa,Football,EPL,2,389,[2029]
L. Sousa,Aston Villa,Football,EPL,2,390,[2030]
T. Iroegbunam,Aston Villa,Football,EPL,2,391,[2031]
Finley Munroe,Aston Villa,Football,EPL,2,392,[2032]
Kobei Moore,Aston Villa,Football,EPL,2,393,[2033]
Joshua Feeney,Aston Villa,Football,EPL,2,394,[2034]
K. Young,Aston Villa,Football,EPL,2,395,[2035]
O. Kellyman,Aston Villa,Football,EPL,2,396,[2036]
J. Jimoh,Aston Villa,Football,EPL,2,397,[2037]
B. Burrows,Aston Villa,Football,EPL,2,398,[2038]
L. Emery,Aston Villa,Football,EPL,2,399,[2039]
João Félix,Barcelona,Football,LaLiga,2,400,[2600]
João Cancelo,Barcelona,Football,LaLiga,2,401,[2601]
Marcos Alonso,Barcelona,Football,LaLiga,2,402,[2602]
J. Araujo,Barcelona,Football,LaLiga,2,403,[2603]
Ansu Fati,Barcelona,Football,LaLiga,3,404,"[2604, 27196]"
Aleix Garrido,Barcelona,Football,LaLiga,2,405,[2605]
Ander Astralaga,Barcelona,Football,LaLiga,2,406,[2606]
Dani Rodríguez,Barcelona,Football,LaLiga,2,407,[2607]
Héctor Fort,Barcelona,Football,LaLiga,3,408,"[2608, 27205]"
Á. Yaakobishvili,Barcelona,Football,LaLiga,2,409,[2609]
Marc Guiu,Barcelona,Football,LaLiga,2,410,[2610]
Sergi Domínguez,Barcelona,Football,LaLiga,2,411,[2611]
Pau Prim,Barcelona,Football,LaLiga,2,412,[2612]
Alexis Olmedo,Barcelona,Football,LaLiga,2,413,[2613]
Álvaro Cortés Moyano,Barcelona,Football,LaLiga,2,414,[2614]
Guille Fernández,Barcelona,Football,LaLiga,2,415,[2615]
Andrés Cuenca,Barcelona,Football,LaLiga,2,416,[2616]
Toni Fernández,Barcelona,Football,LaLiga,2,417,[2617]
Landry Cephas,Barcelona,Football,LaLiga,2,418,[2618]
Quim Junyent,Barcelona,Football,LaLiga,2,419,[2619]
Borja Garcés,Atletico Madrid,Football,LaLiga,3,420,"[2620, 27172]"
Víctor Mollejo,Atletico Madrid,Football,LaLiga,2,421,[2621]
Gabriel Paulista,Atletico Madrid,Football,LaLiga,2,422,[2622]
Marcos Paulo,Atletico Madrid,Football,LaLiga,2,423,[2623]
Germán Valera,Atletico Madrid,Football,LaLiga,2,424,[2624]
Marco Moreno,Atletico Madrid,Football,LaLiga,2,425,[2625]
Mini,Atletico Madrid,Football,LaLiga,2,426,[2626]
Pablo Pérez,Atletico Madrid,Football,LaLiga,2,427,[2627]
Álex Calatrava,Atletico Madrid,Football,LaLiga,2,428,[2628]
Adrián Corral,Atletico Madrid,Football,LaLiga,2,429,[2629]
Sergio Díez,Atletico Madrid,Football,LaLiga,2,430,[2630]
Javier Boñar,Atletico Madrid,Football,LaLiga,2,431,[2631]
Luis Miguel Morales Carnicero,Atletico Madrid,Football,LaLiga,2,432,[2632]
Samu,Atletico Madrid,Football,LaLiga,2,433,[2633]
David Muñoz Torres,Atletico Madrid,Football,LaLiga,2,434,[2634]
A. Raihani,Atletico Madrid,Football,LaLiga,2,435,[2635]
Dani MartÃ­nez,Atletico Madrid,Football,LaLiga,2,436,[2636]
Daniel Muñoz,Atletico Madrid,Football,LaLiga,2,437,[2637]
Taufik Seidu,Atletico Madrid,Football,LaLiga,2,438,[2638]
Dani Rubio,Atletico Madrid,Football,LaLiga,2,439,[2639]
Raúl Albiol,Villarreal,Football,LaLiga,2,481,[27636]
Álex Muñoz,Las Palmas,Football,LaLiga,2,506,[27322]
Stefan Bajčetić,Las Palmas,Football,LaLiga,2,517,[27347]
Suso,Sevilla,Football,LaLiga,2,525,[27522]
Jaílson,Celta Vigo,Football,LaLiga,2,560,[27234]
Javier Manquillo,Celta Vigo,Football,LaLiga,2,564,[27236]
Iago Aspas,Celta Vigo,Football,LaLiga,2,566,[27230]
Damián Rodríguez,Celta Vigo,Football,LaLiga,2,575,[27225]
Pablo Durán,Celta Vigo,Football,LaLiga,2,578,[27240]
Brian Oliván,Espanyol,Football,LaLiga,2,584,[27248]
Salvi,Espanyol,Football,LaLiga,2,585,[27265]
Álvaro Aguado,Espanyol,Football,LaLiga,2,588,[27246]
Fernando Pacheco,Espanyol,Football,LaLiga,2,589,[27252]
Nacho,Real Madrid,Football,LaLiga,2,600,[2640]
T. Kroos,Real Madrid,Football,LaLiga,2,601,[2641]
Kepa,Real Madrid,Football,LaLiga,2,602,[2642]
Reinier,Real Madrid,Football,LaLiga,2,603,[2643]
Joselu,Real Madrid,Football,LaLiga,2,604,[2644]
Pablo Ramón,Real Madrid,Football,LaLiga,2,605,[2645]
Luis López,Real Madrid,Football,LaLiga,2,606,[2646]
T. Zidane,Real Madrid,Football,LaLiga,2,607,[2647]
Mario de Luis,Real Madrid,Football,LaLiga,2,608,[2648]
Lucas Cañizares,Real Madrid,Football,LaLiga,2,609,[2649]
Rafa Marín,Real Madrid,Football,LaLiga,2,610,[2650]
Álvaro Carrillo,Real Madrid,Football,LaLiga,2,611,[2651]
Peter,Real Madrid,Football,LaLiga,2,612,[2652]
Vinícius Tobias,Real Madrid,Football,LaLiga,2,613,[2653]
Edgar Pujol,Real Madrid,Football,LaLiga,2,614,[2654]
Diego Piñeiro,Real Madrid,Football,LaLiga,2,615,[2655]
Á. Rodríguez,Real Madrid,Football,LaLiga,2,616,[2656]
J. de León,Real Madrid,Football,LaLiga,2,617,[2657]
César Palacios,Real Madrid,Football,LaLiga,2,618,[2658]
Joan Martínez,Real Madrid,Football,LaLiga,2,619,[2659]
Arthur,Girona,Football,LaLiga,2,680,[2660]
Eric García,Girona,Football,LaLiga,2,681,[2661]
Pau López,Girona,Football,LaLiga,3,682,"[2662, 27314]"
C. Stuani,Girona,Football,LaLiga,2,683,[2663]
A. Dovbyk,Girona,Football,LaLiga,2,684,[2664]
Borja García,Girona,Football,LaLiga,2,685,[2665]
Aleix García,Girona,Football,LaLiga,2,686,[2666]
Toni Fuidias,Girona,Football,LaLiga,2,687,[2667]
Arnau Ortiz,Girona,Football,LaLiga,2,688,[2668]
Yan Couto,Girona,Football,LaLiga,2,689,[2669]
I. Kebe,Girona,Football,LaLiga,2,690,[2670]
I. Chaira,Girona,Football,LaLiga,2,691,[2671]
Sávio,Girona,Football,LaLiga,2,692,[2672]
Pablo Torre,Girona,Football,LaLiga,2,693,[2673]
Oscar Ureña,Girona,Football,LaLiga,2,694,[2674]
Iker Garcia,Girona,Football,LaLiga,2,695,[2675]
Carles Garrido,Girona,Football,LaLiga,2,696,[2676]
Alex Almansa,Girona,Football,LaLiga,2,697,[2677]
Antonino,Girona,Football,LaLiga,2,698,[2678]
J. Arango,Girona,Football,LaLiga,2,699,[2679]
Luis Pérez,Valladolid,Football,LaLiga,2,725,[27576]
Jordi Masip,Valladolid,Football,LaLiga,2,726,[27571]
Unai García,Osasuna,Football,LaLiga,2,740,[27427]
Kike Barja,Osasuna,Football,LaLiga,2,743,[27418]
Rubén Peña,Osasuna,Football,LaLiga,2,745,[27425]
Aimar Oroz,Osasuna,Football,LaLiga,2,748,[27405]
Pablo Ibáñez,Osasuna,Football,LaLiga,2,749,[27422]
Raúl García,Osasuna,Football,LaLiga,2,750,[27423]
Iker Muñoz,Osasuna,Football,LaLiga,2,751,[27411]
Bryan Zaragoza,Osasuna,Football,LaLiga,2,755,[27409]
Abdón Prats,Mallorca,Football,LaLiga,2,785,[27376]
Valery,Mallorca,Football,LaLiga,2,786,[27402]
Samú Costa,Mallorca,Football,LaLiga,2,789,[27398]
Chiquinho,Mallorca,Football,LaLiga,2,790,[27379]
Javi Llabrés,Mallorca,Football,LaLiga,2,793,[27387]
T. Müller,Bayern München,Football,Bundesliga,2,800,[2120]
L. Sané,Bayern München,Football,Bundesliga,2,801,[2121]
B. Sarr,Bayern München,Football,Bundesliga,2,802,[2122]
M. Tillman,Bayern München,Football,Bundesliga,2,803,[2123]
J. Schenk,Bayern München,Football,Bundesliga,2,804,[2124]
L. Denk,Bayern München,Football,Bundesliga,2,805,[2125]
T. Hülsmann,Bayern München,Football,Bundesliga,2,806,[2126]
Bryan Zaragoza,Bayern München,Football,Bundesliga,2,807,[2127]
J. Janitzek,Bayern München,Football,Bundesliga,2,808,[2128]
P. Wanner,Bayern München,Football,Bundesliga,2,809,[2129]
Olof Matteo Perez Vinlöf,Bayern München,Football,Bundesliga,2,810,[2130]
Jonathan Asp Jensen,Bayern München,Football,Bundesliga,2,811,[2131]
Vincent Manuba,Bayern München,Football,Bundesliga,2,812,[2132]
Benedikt Wimmer,Bayern München,Football,Bundesliga,2,813,[2133]
Grayson Dettoni,Bayern München,Football,Bundesliga,2,814,[2134]
M. Scholze,Bayern München,Football,Bundesliga,2,815,[2135]
Javier Fernández González,Bayern München,Football,Bundesliga,2,816,[2136]
Adin Ličina,Bayern München,Football,Bundesliga,2,817,[2137]
Mudaser Sadat,Bayern München,Football,Bundesliga,2,818,[2138]
Michael Scott,Bayern München,Football,Bundesliga,2,819,[2139]
André Silva,Werder Bremen,Football,Bundesliga,2,860,[28083]
M. Wolf,Borussia Dortmund,Football,Bundesliga,2,920,[2140]
T. Meunier,Borussia Dortmund,Football,Bundesliga,2,921,[2141]
M. Hummels,Borussia Dortmund,Football,Bundesliga,2,922,[2142]
E. Can,Borussia Dortmund,Football,Bundesliga,2,923,[2143]
J. Brandt,Borussia Dortmund,Football,Bundesliga,2,924,[2144]
S. Haller,Borussia Dortmund,Football,Bundesliga,2,925,[2145]
K. Adeyemi,Borussia Dortmund,Football,Bundesliga,2,926,[2146]
P. Groß,Borussia Dortmund,Football,Bundesliga,2,927,[2147]
S. Guirassy,Borussia Dortmund,Football,Bundesliga,2,928,[2148]
M. Beier,Borussia Dortmund,Football,Bundesliga,2,929,[2149]
Y. Moukoko,Borussia Dortmund,Football,Bundesliga,2,930,[2150]
S. Coulibaly,Borussia Dortmund,Football,Bundesliga,2,931,[2151]
F. Roggow,Borussia Dortmund,Football,Bundesliga,2,932,[2152]
R. Elongo-Yombo,Borussia Dortmund,Football,Bundesliga,2,933,[2153]
J. Hettwer,Borussia Dortmund,Football,Bundesliga,2,934,[2154]
William Cole Campbell,Borussia Dortmund,Football,Bundesliga,2,935,[2155]
Hendry Aron Blank,Borussia Dortmund,Football,Bundesliga,2,936,[2156]
J. Duranville,Borussia Dortmund,Football,Bundesliga,2,937,[2157]
Paris Josua  Brunner,Borussia Dortmund,Football,Bundesliga,2,938,[2158]
Tyler Louis Meiser,Borussia Dortmund,Football,Bundesliga,2,939,[2159]
P. Schick,Bayer Leverkusen,Football,Bundesliga,2,960,[2160]
N. Mukiele,Bayer Leverkusen,Football,Bundesliga,2,961,[2161]
S. Azmoun,Bayer Leverkusen,Football,Bundesliga,2,962,[2162]
Hermoso,Bayer Leverkusen,Football,Bundesliga,2,963,[2163]
V. Boniface,Bayer Leverkusen,Football,Bundesliga,2,964,[2164]
O. Kossounou,Bayer Leverkusen,Football,Bundesliga,2,965,[2165]
A. Hložek,Bayer Leverkusen,Football,Bundesliga,2,966,[2166]
A. Adli,Bayer Leverkusen,Football,Bundesliga,2,967,[2167]
N. Tella,Bayer Leverkusen,Football,Bundesliga,2,968,[2168]
S. Fofana,Bayer Leverkusen,Football,Bundesliga,2,969,[2169]
M. Monamay,Bayer Leverkusen,Football,Bundesliga,2,970,[2170]
I. Maza,Bayer Leverkusen,Football,Bundesliga,2,971,[2171]
Ken Eghosa Gideon Izekor,Bayer Leverkusen,Football,Bundesliga,2,972,[2172]
Kerim-Sam Alajbegović,Bayer Leverkusen,Football,Bundesliga,2,973,[2173]
A. Sarco,Bayer Leverkusen,Football,Bundesliga,2,974,[2174]
O. Raterink,Bayer Leverkusen,Football,Bundesliga,2,975,[2175]
A. Natali,Bayer Leverkusen,Football,Bundesliga,2,976,[2176]
K. Raterink,Bayer Leverkusen,Football,Bundesliga,2,977,[2177]
B. Hawighorst,Bayer Leverkusen,Football,Bundesliga,2,978,[2178]
S. Rapsch,Bayer Leverkusen,Football,Bundesliga,2,979,[2179]
J. Bruun Larsen,VfB Stuttgart,Football,Bundesliga,2,1020,[2180]
S. Katompa Mvumpa,VfB Stuttgart,Football,Bundesliga,2,1021,[2181]
C. Führich,VfB Stuttgart,Football,Bundesliga,2,1022,[2182]
N. Nartey,VfB Stuttgart,Football,Bundesliga,2,1023,[2183]
A. Karazor,VfB Stuttgart,Football,Bundesliga,2,1024,[2184]
D. Undav,VfB Stuttgart,Football,Bundesliga,2,1025,[2185]
E. Demirović,VfB Stuttgart,Football,Bundesliga,2,1026,[2186]
J. Leweling,VfB Stuttgart,Football,Bundesliga,2,1027,[2187]
A. Rouault,VfB Stuttgart,Football,Bundesliga,2,1028,[2188]
A. Stiller,VfB Stuttgart,Football,Bundesliga,2,1029,[2189]
N. Woltemade,VfB Stuttgart,Football,Bundesliga,2,1030,[2190]
F. Rieder,VfB Stuttgart,Football,Bundesliga,2,1031,[2191]
Y. Keitel,VfB Stuttgart,Football,Bundesliga,2,1032,[2192]
E. Touré,VfB Stuttgart,Football,Bundesliga,2,1033,[2193]
W. Faghir,VfB Stuttgart,Football,Bundesliga,2,1034,[2194]
T. Kastanaras,VfB Stuttgart,Football,Bundesliga,2,1035,[2195]
J. Diehl,VfB Stuttgart,Football,Bundesliga,2,1036,[2196]
R. Paula,VfB Stuttgart,Football,Bundesliga,2,1037,[2197]
Christopher Olivier,VfB Stuttgart,Football,Bundesliga,2,1038,[2198]
Eliot Bujupi,VfB Stuttgart,Football,Bundesliga,2,1039,[2199]
L. Openda,RB Leipzig,Football,Bundesliga,2,1040,[2200]
X. Schlager,RB Leipzig,Football,Bundesliga,2,1041,[2201]
A. Haidara,RB Leipzig,Football,Bundesliga,2,1042,[2202]
K. Kampl,RB Leipzig,Football,Bundesliga,2,1043,[2203]
E. Elmas,RB Leipzig,Football,Bundesliga,2,1044,[2204]
André Silva,RB Leipzig,Football,Bundesliga,2,1045,[2205]
N. Seiwald,RB Leipzig,Football,Bundesliga,2,1046,[2206]
L. Geertruida,RB Leipzig,Football,Bundesliga,2,1047,[2207]
J. Blaswich,RB Leipzig,Football,Bundesliga,2,1048,[2208]
F. Hartmann,RB Leipzig,Football,Bundesliga,2,1049,[2209]
B. Šeško,RB Leipzig,Football,Bundesliga,2,1050,[2210]
Hugo Novoa,RB Leipzig,Football,Bundesliga,2,1051,[2211]
A. Vermeeren,RB Leipzig,Football,Bundesliga,2,1052,[2212]
J. Norbye,RB Leipzig,Football,Bundesliga,2,1053,[2213]
A. Ouédraogo,RB Leipzig,Football,Bundesliga,2,1054,[2214]
T. Gomis,RB Leipzig,Football,Bundesliga,2,1055,[2215]
Robert Ramsak,RB Leipzig,Football,Bundesliga,3,1056,"[2216, 27986]"
Jamie Schuldes,RB Leipzig,Football,Bundesliga,2,1057,[2217]
V. Gebel,RB Leipzig,Football,Bundesliga,2,1058,[2218]
F. Sakar,RB Leipzig,Football,Bundesliga,2,1059,[2219]
Pedro,Lazio,Football,SerieA,2,1182,[28480]
André Anderson,Lazio,Football,SerieA,2,1185,[28457]
F. Ballo-Touré,AC Milan,Football,SerieA,2,1200,[2500]
D. Origi,AC Milan,Football,SerieA,2,1201,[2501]
A. Mirante,AC Milan,Football,SerieA,2,1202,[2502]
D. Calabria,AC Milan,Football,SerieA,2,1203,[2503]
L. Jović,AC Milan,Football,SerieA,2,1204,[2504]
S. Kjær,AC Milan,Football,SerieA,2,1205,[2505]
T. Abraham,AC Milan,Football,SerieA,2,1206,[2506]
D. Vásquez,AC Milan,Football,SerieA,2,1207,[2507]
D. Maldini,AC Milan,Football,SerieA,2,1208,[2508]
E. Roback,AC Milan,Football,SerieA,2,1209,[2509]
C. De Ketelaere,AC Milan,Football,SerieA,2,1210,[2510]
M. Lazetić,AC Milan,Football,SerieA,2,1211,[2511]
A. Coubiș,AC Milan,Football,SerieA,2,1212,[2512]
Victor Ehuwa Eletu,AC Milan,Football,SerieA,2,1213,[2513]
Kevin Zeroli,AC Milan,Football,SerieA,2,1214,[2514]
A. Bakoune,AC Milan,Football,SerieA,2,1215,[2515]
D. Sia,AC Milan,Football,SerieA,2,1216,[2516]
Andrea  Bartoccioni,AC Milan,Football,SerieA,2,1217,[2517]
A. Bonomi,AC Milan,Football,SerieA,2,1218,[2518]
A. Longoni,AC Milan,Football,SerieA,2,1219,[2519]
Zito Luvumbo,Cagliari,Football,SerieA,2,1232,[28253]
David Neres,Napoli,Football,SerieA,2,1244,[28563]
M. De Sciglio,Juventus,Football,SerieA,2,1300,[2520]
M. Kean,Juventus,Football,SerieA,2,1301,[2521]
H. Nicolussi,Juventus,Football,SerieA,2,1302,[2522]
P. Pogba,Juventus,Football,SerieA,2,1303,[2523]
S. Gori,Juventus,Football,SerieA,2,1304,[2524]
G. Frabotta,Juventus,Football,SerieA,2,1305,[2525]
A. Sersanti,Juventus,Football,SerieA,2,1306,[2526]
M. Olivieri,Juventus,Football,SerieA,2,1307,[2527]
T. Barbieri,Juventus,Football,SerieA,2,1308,[2528]
M. Aké,Juventus,Football,SerieA,2,1309,[2529]
N. Sekulov,Juventus,Football,SerieA,2,1310,[2530]
M. Compagnon,Juventus,Football,SerieA,2,1311,[2531]
T. Muharemović,Juventus,Football,SerieA,2,1312,[2532]
Facundo González,Juventus,Football,SerieA,2,1313,[2533]
L. Comenencia,Juventus,Football,SerieA,2,1314,[2534]
L. Hasa,Juventus,Football,SerieA,2,1315,[2535]
A. Pietrelli,Juventus,Football,SerieA,2,1316,[2536]
N. Rizzo,Juventus,Football,SerieA,2,1317,[2537]
F. Pagnucco,Juventus,Football,SerieA,2,1318,[2538]
A. Montero,Juventus,Football,SerieA,2,1319,[2539]
V. Kovalenko,Atalanta,Football,SerieA,2,1340,[2540]
N. Zaniolo,Atalanta,Football,SerieA,2,1341,[2541]
D. Zapata,Atalanta,Football,SerieA,2,1342,[2542]
Rui Patrício,Atalanta,Football,SerieA,2,1343,[2543]
P. Gollini,Atalanta,Football,SerieA,2,1344,[2544]
H. Hateboer,Atalanta,Football,SerieA,2,1345,[2545]
C. Okoli,Atalanta,Football,SerieA,2,1346,[2546]
R. Tolói,Atalanta,Football,SerieA,2,1347,[2547]
N. Cambiaghi,Atalanta,Football,SerieA,2,1348,[2548]
R. Piccoli,Atalanta,Football,SerieA,2,1349,[2549]
T. Koopmeiners,Atalanta,Football,SerieA,2,1350,[2550]
A. Cortinovis,Atalanta,Football,SerieA,2,1351,[2551]
B. Soppy,Atalanta,Football,SerieA,2,1352,[2552]
G. Cittadini,Atalanta,Football,SerieA,2,1353,[2553]
M. Dajcar,Atalanta,Football,SerieA,2,1354,[2554]
E. Kraja,Atalanta,Football,SerieA,2,1355,[2555]
A. Oliveri,Atalanta,Football,SerieA,2,1356,[2556]
T. Bertini,Atalanta,Football,SerieA,2,1357,[2557]
P. Tornaghi,Atalanta,Football,SerieA,2,1358,[2558]
F. Steffanoni,Atalanta,Football,SerieA,2,1359,[2559]
G. Cangiano,Bologna,Football,SerieA,2,1360,[2560]
D. Calabria,Bologna,Football,SerieA,2,1361,[2561]
R. Freuler,Bologna,Football,SerieA,2,1362,[2562]
M. Arnautović,Bologna,Football,SerieA,2,1363,[2563]
N. Cambiaghi,Bologna,Football,SerieA,2,1364,[2564]
R. Orsolini,Bologna,Football,SerieA,2,1365,[2565]
J. Odgaard,Bologna,Football,SerieA,2,1366,[2566]
K. Bonifazi,Bologna,Football,SerieA,2,1367,[2567]
T. Pobega,Bologna,Football,SerieA,2,1368,[2568]
S. van Hooijdonk,Bologna,Football,SerieA,2,1369,[2569]
J. Karlsson,Bologna,Football,SerieA,2,1370,[2570]
D. Ndoye,Bologna,Football,SerieA,2,1371,[2571]
T. Dallinga,Bologna,Football,SerieA,2,1372,[2572]
N. Pyyhtiä,Bologna,Football,SerieA,2,1373,[2573]
L. Binks,Bologna,Football,SerieA,2,1374,[2574]
S. Castro,Bologna,Football,SerieA,2,1375,[2575]
A. Raimondo,Bologna,Football,SerieA,2,1376,[2576]
N. Bagnolini,Bologna,Football,SerieA,2,1377,[2577]
N. Byar,Bologna,Football,SerieA,2,1378,[2578]
T. Ravaglioli,Bologna,Football,SerieA,2,1379,[2579]
S. Esposito,Inter,Football,SerieA,2,1440,[2580]
J. Correa,Inter,Football,SerieA,2,1441,[2581]
Z. Vanheusden,Inter,Football,SerieA,2,1442,[2582]
M. Arnautović,Inter,Football,SerieA,2,1443,[2583]
G. Oristanio,Inter,Football,SerieA,2,1444,[2584]
Jacopo Gianelli,Inter,Football,SerieA,2,1445,[2585]
F. Stanković,Inter,Football,SerieA,2,1446,[2586]
F. Carboni,Inter,Football,SerieA,2,1447,[2587]
M. Zanotti,Inter,Football,SerieA,2,1448,[2588]
A. Silvestro,Inter,Football,SerieA,2,1449,[2589]
C. Alexiou,Inter,Football,SerieA,2,1450,[2590]
D. Quieto,Inter,Football,SerieA,2,1451,[2591]
L. Topalović,Inter,Football,SerieA,2,1452,[2592]
F. Stante,Inter,Football,SerieA,2,1453,[2593]
M. Spinaccè,Inter,Football,SerieA,2,1454,[2594]
M. Zanchetta,Inter,Football,SerieA,2,1455,[2595]
Mike Aidoo,Inter,Football,SerieA,2,1456,[2596]
Matteo Motta,Inter,Football,SerieA,2,1457,[2597]
A. Taho,Inter,Football,SerieA,2,1458,[2598]
D. Zárate,Inter,Football,SerieA,2,1459,[2599]
Kike Pérez,Venezia,Football,SerieA,2,1489,[28728]
Pepe Reina,Como,Football,SerieA,2,1548,[28288]
Assane Diao,Como,Football,SerieA,2,1553,[28262]
Kevin Zeroli,Monza,Football,SerieA,2,1574,[28541]
S. Umtiti,Lille,Football,Ligue1,2,1600,[2040]
A. Ounas,Lille,Football,Ligue1,2,1601,[2041]
C. Akpom,Lille,Football,Ligue1,2,1602,[2042]
Ivan Cavaleiro,Lille,Football,Ligue1,3,1603,"[2043, 28937]"
V. Vanbaleghem,Lille,Football,Ligue1,2,1604,[2044]
A. Zedadka,Lille,Football,Ligue1,2,1605,[2045]
R. Cabella,Lille,Football,Ligue1,2,1606,[2046]
A. Jakubech,Lille,Football,Ligue1,2,1607,[2047]
G. Gudmundsson,Lille,Football,Ligue1,2,1608,[2048]
Y. Yazıcı,Lille,Football,Ligue1,2,1609,[2049]
V. Mannone,Lille,Football,Ligue1,2,1610,[2050]
T. Negrel,Lille,Football,Ligue1,2,1611,[2051]
J. Bazié,Lille,Football,Ligue1,2,1612,[2052]
Lisandru Olmeta,Lille,Football,Ligue1,2,1613,[2053]
A. Faiz,Lille,Football,Ligue1,2,1614,[2054]
A. Malouda,Lille,Football,Ligue1,2,1615,[2055]
I. Ferrah,Lille,Football,Ligue1,2,1616,[2056]
